StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your anonymous ID number.,Poor people are different from the rest of society.,Poor people are dishonest.,Most poor people are dirty.,Poor people act differently.,Children raised on welfare will never amount to anything.,I believe poor people have a different set of values than other people have.,Poor people generally have lower intelligence than non-poor people.,There is a lot of fraud among welfare recipients.,"Some ""poor"" people live better than I do, considering all their benefits.",Poor people think they deserve to be supported.,Welfare mothers have babies to get more money.,An able-bodied person collecting welfare is ripping off the system.,Unemployed poor people could find jobs if they tried harder.,Welfare makes people lazy.,Benefits for poor people consume a major part of the federal budget.,People are poor due to circumstances beyond their control.,I would support a program that resulted in higher taxes to support social programs for poor people.,"If I were poor, I would accept welfare benefits.",Poor people should not be blamed for their misfortune.,Society has the responsibility of helping poor people.,Poor people are discriminated against.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2025-10-24 13:58:17,2025-10-24 14:00:20,0,107.127.0.67,100,123,1,2025-10-24 14:00:21,R_7p88GjcmLQysuHL,,,,,32.7797,-96.8022,qr,EN,1021,5,5,4,4,5,4,5,4,4,4,5,4,4,5,5,2,2,3,2,4,3
2025-10-24 13:58:54,2025-10-24 14:00:29,0,172.226.178.47,100,95,1,2025-10-24 14:00:29,R_5riiKkG2e5XRw4N,,,,,32.7254,-97.3208,qr,EN,1016,1,4,5,5,4,2,2,2,3,3,2,2,2,2,2,1,1,4,4,4,4
2025-10-24 13:58:21,2025-10-24 14:00:36,0,172.59.194.101,100,135,1,2025-10-24 14:00:37,R_1E3K8fTIblA9fJP,,,,,32.8964,-96.8635,qr,EN,1022,4,3,4,4,5,3,5,3,4,4,4,5,5,4,4,1,2,1,2,2,1
2025-10-24 13:58:24,2025-10-24 14:01:10,0,166.205.190.132,100,165,1,2025-10-24 14:01:11,R_7eX5unmE4LLJoqZ,,,,,30.3773,-97.71,qr,EN,1081,1,4,5,2,5,3,5,5,5,5,5,5,3,5,5,2,1,1,1,2,1
2025-10-24 13:59:01,2025-10-24 14:01:17,0,174.246.129.61,100,136,1,2025-10-24 14:01:17,R_6B9bd7fwqoDmg7H,,,,,32.7836,-96.8674,qr,EN,1059,1,4,3,1,5,1,5,3,5,5,4,4,4,4,5,5,5,5,3,2,1
2025-10-24 13:58:14,2025-10-24 14:01:22,0,174.214.115.112,100,188,1,2025-10-24 14:01:22,R_1jc9DyIRFyrNfXe,,,,,32.8372,-96.769,qr,EN,1063,4,2,2,3,4,2,2,2,4,2,4,4,3,3,3,4,5,2,2,3,2
2025-10-24 13:58:49,2025-10-24 14:01:23,0,69.50.95.51,100,153,1,2025-10-24 14:01:23,R_3Pjn6pfGfj1qi6R,,,,,39.7391,-104.9866,qr,EN,1097,3,3,4,2,5,3,2,2,3,4,2,2,3,2,3,5,4,1,2,3,3
2025-10-24 13:57:58,2025-10-24 14:01:33,0,172.59.194.163,100,215,1,2025-10-24 14:01:34,R_3KusNJapj0MMGpr,,,,,32.8964,-96.8635,qr,EN,1066,4,3,4,4,5,4,5,4,5,4,3,5,4,4,3,2,2,2,2,2,2
